interaction_title	interaction_type	feature	category_key	feature_id	status	summary	related_region	menu	shortcut	preconditions	edge_cases	acceptance_criteria
Execute Filtered Collection Retrieval	background	Retrieve Entries with Filters	RCL	RCL-003	배포 완료	현재 설정된 필터를 기준으로 엔트리 검색을 자동 실행해 결과 목록을 계산하고 결과를 반환	-	-	-	- 실행할 필터 스냅샷이 확정된 상태	- 실행 중 필터 정의가 다시 변경되어 최신 정의만 반영하도록 기존 실행을 대체해야 하는 경우 - 실행 중 인덱스 갱신이나 파일 변경이 발생해 실행 결과가 변동될 수 있는 경우  - 검색 실행이 시간 또는 리소스 한계를 초과해 중단되거나 부분 결과로 종료되는 경우	- 검색 실행 요청이 발생했을 때, 실행할 필터 스냅샷이 확정된 상태에서 검색을 수행하면, 결정론 필터로 후보 엔트리 집합을 산출하고 텍스트 쿼리 컨디션을 평가해 결과 목록을 계산하여 반환함 - 검색을 실행 중일 때, 필터 정의가 다시 변경되어 새 스냅샷이 확정된다면, 기존 실행을 대체하고 최신 스냅샷 기준 결과만 최종 반영함 - 검색을 실행 중일 때, 인덱스 갱신이나 파일 변경이 발생한다면, 실행 시점 기준으로 가능한 최신 상태를 반영해 결과를 계산함 - 검색을 실행 중일 때, 실행이 시간 또는 리소스 한계를 초과한다면, 부분 결과로 종료하거나 안전한 폴백 정책을 적용해 결과를 반환함
Update Collection Results On Filter Change	background	Retrieve Entries with Filters	RCL	RCL-003	배포 완료	필터 정의가 변경될 때 해당 필터로 엔트리 검색을 자동 실행해 결과 목록을 백그라운드에서 갱신	-	-	-	- 필터 정의 변경이 완료된 상태	- 필터 편집이 연속으로 발생해 변경 이벤트가 다량으로 생성되는 경우 - 자동 갱신 실행 중 수동 새로고침이 호출되어 동시 실행을 조정해야 하는 경우 - 변경 직후 컨디션이 일시적으로 미완성 상태가 되어 실행을 보류하거나 해당 컨디션을 제외해야 하는 경우	- 필터 정의 변경이 완료되어 실행할 필터 스냅샷을 확정되었을 때, 자동 갱신이 실행된다면, 해당 스냅샷으로 검색을 백그라운드에서 실행해 결과 목록을 갱신함 - 자동 갱신을 실행 중인 상태일 때, 필터 편집이 연속으로 발생해 변경 이벤트가 다량으로 생성된다면, 최신 변경만 반영하도록 실행을 병합하거나 기존 실행을 대체함 - 자동 갱신이 실행 중인 상태일 때, 수동 새로고침이 호출되면, 우선순위 정책에 따라 실행을 조정하고 최신 결과가 유지되도록 함 - 변경 직후 컨디션이 일시적으로 미완성 상태일 때, 자동 갱신을 실행하면, 실행을 보류하거나 미완성 컨디션을 제외하는 정책을 적용함
Apply Deterministic Filters	background	Retrieve Entries with Filters	RCL	RCL-003	배포 완료	콜렉션 스코프와 시스템·커스텀 프로퍼티 조건을 결정론적으로 평가해 후보 entry 집합을 산출하고, 조건 불일치 entry를 제외	-	-	-	- 실행할 필터 스냅샷이 확정된 상태	- 인덱스가 최신 상태가 아니어서 일부 엔트리가 인덱스에는 존재하지만 실제 파일 시스템에서는 이동되었거나 삭제된 상태인 경우 - 인덱싱이 아직 완료되지 않아 일부 엔트리 또는 일부 메타데이터 필드가 인덱스에 누락된 상태인 경우 - OS 인덱싱 기반 검색으로 보강을 시도했지만 실패하는 경우	- 검색 파이프라인이 시작될 때, 실행할 필터 스냅샷이 확정이 되어있다면, 해당 필터 정의를 기준으로 후보 엔트리 집합을 산출함  - 검색 파이프라인이 시작될 때, 미완성 컨디션이 포함되어 있다면, 해당 컨디션은 필터에서 제외한 스냅샷으로 검색을 진행함 - 필터 정의를 기준으로 후보를 산출할 때, 인덱스 상 엔트리가 실제 파일 시스템에서 이동되었거나 삭제된 것이 확인되면, 해당 엔트리를 후보 집합에서 제외함  - 필터 정의를 기준으로 후보를 산출할 때, 인덱싱 누락으로 일부 엔트리 또는 일부 메타데이터 필드가 인덱스에 없다면, OS 인덱싱 기반 검색으로 보강을 시도하고 보강 결과를 기준으로 후보 산출을 계속함 - 필터 정의를 기준으로 후보를 산출할 때, OS 인덱싱 기반 검색으로 보강을 시도했지만 실패했다면, 해당 엔트리는 후보 집합에서 제외함
Refresh Collection Results	command	Retrieve Entries with Filters	RCL	RCL-003	배포 완료	현재 설정된 필터를 기준으로 엔트리 검색을 수동 실행해 최신 결과 목록으로 갱신	-	-	-	- 현재 콜렉션 결과가 표시 중인 상태	- 짧은 시간에 연속 호출되는 경우  - 권한 부족이나 스토리지 연결 문제로 새로고침 실행이 실패하는 경우	- 현재 콜렉션 결과가 표시 중인 상태일 때, 사용자가 해당 인터랙션을 호출하면, 현재 설정된 필터로 검색을 수동 실행해 최신 결과 목록으로 갱신함 - 사용자가 새로고침을 짧은 시간안에 연속 호출했을 때, , 중복 실행을 제한하는 정책을 적용함 - 권한 부족이나 스토리지 연결 문제로 새로고침 실행이 실패한다면, 사용자가 새로고침을 호출할 때, 기존 결과를 유지하고 실패 피드백을 표시함
Evaluate Text Query Condition Lexically	background	Retrieve Entries with Filters	RCL	RCL-003	아이디어	텍스트 쿼리 컨디션을 대상으로 키워드 매칭∙스코어링으로 평가해 키워드 매칭 신호를 생성	-	-	-	- 텍스트 쿼리 컨디션 정의가 필터에 포함된 상태	- 키워드 매칭을 수행할 인덱스가 준비되지 않았거나 사용 불가한 상태인 경우 - 콜렉션 스코프가 넓거나 결정론 필터로 후보가 충분히 줄지 않아 평가 대상 엔트리 수가 과도하게 커지는 경우	- 후보 엔트리 집합이 산출된 상태일 때, 텍스트 쿼리 컨디션 정의가 필터에 포함된 상태라면, 키워드 매칭과 스코어링을 수행해 엔트리별 키워드 매칭 신호를 생성함 - 키워드 매칭 신호를 생성할 때, 키워드 매칭을 수행할 자체 인덱스가 준비되지 않았거나 사용 불가한 상태라면, OS 인덱싱 기반 검색으로 폴백해 키워드 매칭 신호를 생성함 - 키워드 매칭 신호를 생성할 때, 평가 대상 엔트리 수가 과도하게 커진다면, 성능 보호 정책을 적용해 평가 범위를 제한한 뒤 키워드 매칭 신호를 생성함
Evaluate Text Query Condition Semantically	background	Retrieve Entries with Filters	RCL	RCL-003	아이디어	텍스트 쿼리 컨디션을 대상으로 임베딩 유사도로 평가해 의미적 유사도 신호를 생성	-	-	-	- 텍스트 쿼리 컨디션 정의가 필터에 포함된 상태	- 의미적 유사도 평가 기능이 비활성화된 상태인 경우 - 임베딩 인덱스가 아직 준비되지 않았거나 사용 불가한 상태인 경우 - 일부 엔트리에 임베딩이 누락되어 의미적 유사도 신호를 부분적으로만 생성할 수 있는 상태인 경우	- 후보 엔트리 집합이 산출된 상태일 때, 텍스트 쿼리 컨디션 정의가 필터에 포함된 상태라면, 임베딩 유사도 평가를 수행해 엔트리별 의미적 유사도 신호를 생성함 - 의미적 유사도 신호를 생성할 때, 의미적 유사도 평가 기능이 비활성화된 상태라면, 의미적 유사도 신호를 생성하지 않고 결측으로 처리함 - 의미적 유사도 신호를 생성할 때, 임베딩 인덱스가 아직 준비되지 않았거나 사용 불가한 상태라면, 의미적 유사도 신호를 생성하지 않고 결측으로 처리함 - 의미적 유사도 신호를 생성할 때, 일부 엔트리에 임베딩이 누락된 상태라면, 가능한 엔트리에 대해서만 의미적 유사도 신호를 생성하고 나머지는 결측으로 처리함
Combine Hybrid Scores	background	Retrieve Entries with Filters	RCL	RCL-003	아이디어	키워드 매칭 신호와 의미적 유사도 신호를 가중 결합해 최종 관련도 스코어를 산출	-	-	-	- 키워드 매칭 신호 또는 의미적 유사도 신호 중 1개 이상이 존재하는 상태	- 키워드 매칭 신호와 의미적 유사도 신호의 스코어 분포가 달라 결합 결과가 한쪽 신호에 과도하게 치우치는 상태인 경우 - 한쪽 신호가 생성되지 않아 다른 신호만으로 최종 관련도 스코어를 산출하는 상태인 경우 - 가중 결합 정책이 유효하지 않아 안전한 기본 결합 정책으로 폴백해야 하는 상태인 경우	- 키워드 매칭 신호 또는 의미적 유사도 신호가 생성된 상태일 때, 가중 결합을 수행하면, 엔트리별 최종 관련도 스코어를 산출함 - 한쪽 신호가 결측인 상태에서, 가중 결합을 수행하면, 존재하는 신호만으로 최종 관련도 스코어를 산출함 - 가중 결합을 수행할 때, 키워드 매칭 신호와 의미적 유사도 신호의 스코어 분포 차이로 결합 결과가 한쪽에 치우칠 수 있는 상태라면, 결합 왜곡을 완화하는 정규화 정책을 적용함 - 가중 결합을 수행할 때, 가중 결합 정책이 유효하지 않은 상태라면, 안전한 기본 결합 정책으로 폴백해 최종 관련도 스코어를 산출함
Rank Entries by Relevance	background	Retrieve Entries with Filters	RCL	RCL-003	아이디어	최종 관련도 스코어 기준으로 결과 엔트리를 정렬하고, 동점 시 안정적인 동점 처리 규칙으로 일관된 순서를 보장	-	-	-	- 결과 엔트리 후보 집합이 존재하는 상태	- 관련도 스코어 동점이 대량으로 발생해 안정적인 동점 처리 규칙이 필요한 경우 - 일부 엔트리에 관련도 스코어가 없어 결측 값을 처리한 뒤 정렬해야 하는 경우 - 결과 엔트리 수가 매우 커 정렬 비용이 크게 증가하는 경우  - 키워드 매칭 신호와 의미적 유사도 신호가 모두 생성되지 않아 기본 정렬 규칙으로 결과를 산출해야 하는 경우	- 엔트리별 최종 관련도 스코어가 산출된 상태일 때, 정렬을 수행하면, 최종 관련도 스코어 기준으로 결과 엔트리를 정렬함 - 관련도 스코어 동점이 대량으로 발생하는 상태일 때, 정렬을 수행하면, 안정적인 동점 처리 규칙을 적용해 일관된 순서를 보장함 - 일부 엔트리에 관련도 스코어가 결측인 상태일 때, 정렬을 수행하면, 결측 값을 처리하는 정책을 적용한 뒤 정렬함 - 결과 엔트리 수가 매우 커 정렬 비용이 크게 증가하는 상태일 때, 정렬을 수행하면, 성능 보호 정책을 적용해 정렬 비용을 제한함
Submit Message	command	Handle User Request	CDA	CDA-001	준비 완료	Chat Pane 인풋 필드에 입력된 Message를 제출해 User Request 처리 플로우를 시작	file_manager_window.inspector_pane.inspector_mode_chat	-	Enter	- 채팅 입력창이 포커스 상태 - 입력된 Message가 공백이 아닌 상태 - 이전에 제출된 Message가 처리 중이지 않은 상태	-	- Chat Pane의 인풋 필드가 입력된 Message가 공백이 아닌 상태일 때, 사용자가 해당 인터랙션을 호출하면, 새 User Request가 생성되고 채팅 히스토리에 Message가 추가됨  - 사용자가 해당 인터랙션을 호출했을 때, 이전에 제출된 Message가 처리 중인 상태라면, 새 Submit Message를 제출이 막힘 - 인풋 필드가 포커스된 상태일 때, 할당된 키보드 숏컷을 누르면, 해당 인터랙션이 호출됨
Plan User Request	background	Handle User Request	CDA	CDA-001	드래프트							
Start Intent Steps	background	Handle User Request	CDA	CDA-001	드래프트							
Split Message into Chunks	background	Handle User Request	CDA	CDA-001	취소	User Request Message를 의미 단위로 분리해, 이후 Intent의 기본 단위로 사용할 Chunk 목록을 생성	-	-	-	- 대상 User Request Message가 제출되어 처리가 시작되는 상태	- Message가 하나의 의미만 담고 있어 추가 분리가 실질적인 이득이 없는 경우  - 서로 다른 의미가 섞여 있지만 문장 구조가 애매해 의미 경계를 명확히 나누기 어려운 경우  - 앞뒤 문맥을 함께 봐야 의미가 드러나 Chunk를 과도하게 잘게 나눌 위험이 있는 경우	- 제출된 User Request Message가 처리가 시작될 때, 대상 Message 내 서로 다른 작업·질문·조건 등 의미상 두 개 이상의 블록이 포함된 상태라면, 각 의미 블록이 독립된 Chunk로 분리됨 - 제출된 User Request Message가 처리가 시작될 때, 대상 Message가 하나의 일관된 의미만 담고 있는 상태라면, Message 전체가 단일 Chunk로 유지됨 - 제출된 User Request Message가 처리가 시작될 때, 의미 경계를 명확히 나누기 어려운 상태라면, 의미를 최대한 보존하는 보수적인 기준으로 Chunk 목록이 생성됨
Route Chuncks to Intents	background	Handle User Request	CDA	CDA-001	취소	분리된 각 Chunk의  내용을 분석해 적절한 Intent로 분류	-	-	-	- 대상 User Request Message에 하나 이상의 Chunk가 존재하는 상태	- 특정 Chunk 텍스트가 너무 짧거나 모호해 어떤 Intent로도 명확히 판별하기 어려운 경우  - 두 개 이상의 Intent 점수가 임계값 이상이면서 서로 근접해 단일 Intent로 결정하기 애매한 경우 - Chunk의 의도를 판별하기 위해 앞뒤 Chunk의 문맥을 함께 고려해야 하는 경우	- 대상 User Request Message에 하나 이상의 Chunk가 존재하는 상태일 때, 각 Chunk에 대해 지원되는 Intent 집합에 대한 점수를 계산하면, 임계값 이상이면서 가장 높은 점수를 가진 Intent가 그 Chunk의 Intent로 지정됨 - 특정 Chunk에 대해 모든 Intent 점수가 임계값 미만인 상태일 때, 해당 Chunk를 평가하면, 그 Chunk의 Intent는 기본 Intent인 Ask로 지정되고, 추가 Clarify가 필요함을 나타내는 저신뢰도 플래그가 함께 기록됨 - 특정 Chunk에 대해 두 개 이상의 Intent 점수가 임계값 이상이면서 서로 근접해 단일 Intent로 결정하기 애매한 상태일 때, 해당 Chunk를 평가하면, 우선 해당 Chunk를 더 세분화하는 재청크를 시도하여 단일한 Intent를 갖도록 함 - 특정 Chunk의 텍스트만으로는 Intent를 판별하기 어려우나 앞뒤 Chunk의 문맥을 함께 고려했을 때 특정 Intent가 명확해지는 상태일 때, 해당 Chunk를 평가하면, 앞뒤 Chunk와의 문맥 일관성을 우선 기준으로 그 Chunk의 Intent가 지정됨
Order Intents for Execution	background	Handle User Request	CDA	CDA-001	취소	청크별로 지정된 Intent를 입력으로 받아, Intent별 실행 순서와 각 Intent 단계에서 처리할 Chunk 묶음을 정의	-	-	-	- 각 Chunk에 대해 단일 Intent가 지정된 상태	- 모든 Chunk가 동일한 Intent로 지정되어 Execution Plan이 단일 Intent 단계만 포함하게 되는 경우	- 각 Chunk 별 단일한 Intent가 지정이 됐을 때, 서로 다른 Intent를 가진 Chunk가 둘 이상 존재하는 한다면, 사전 정의된 규칙에 따라 Intent별 실행 순서와 각 Intent 단계에서 처리할 Chunk 묶음이 결정됨 - 각 Chunk 별 단일한 Intent가 지정이 됐을 때, 모든 Chunk가 동일한 Intent로 지정되었다면, 원본 Chunk 순서를 유지하는 단일 Intent 단계의 실행 순서가 결정됨
Stream Processing Message	display	Handle User Request	CDA	CDA-001	기획 완료	대상 User Request Message에 대한 응답을 토큰 또는 청크 단위로 Chat Pane에 점진적으로 표시함	file_manager_window.inspector_pane.inspector_mode_chat	-	-	- 대상 User Request Message가 처리 중인 상태	- Cancel Processing Message 인터랙션이 호출되는 경우  - 네트워크 오류로 응답 수신이 중단되는 경우	- 유저가 Submit Message 호출이 정상적으로 처리되었을 때, 시스템이 해당 인터랙션을 실행하면, 응답 텍스트가 토큰 또는 청크 단위로 점진적으로 표시됨 - 대상 User Request Message가 처리 중인 상태일 때, 사용자가 Cancel Processing Message를 호출하면, 추가 토큰이 표시되지 않고 스트리밍이 즉시 종료됨 - 대상 User Request Message가 처리 중인 상태일 때, 네트워크 오류가 발생한다면, 이미 수신된 부분 응답까지만 표시되고 오류 상태가 함께 표시됨
Cancel Processing Message	command	Handle User Request	CDA	CDA-001	기획 완료	처리 중인 User Request Message의 응답 스트리밍 및 후속 처리를 중단함	file_manager_window.inspector_pane.inspector_mode_chat	-	⌃C	- 대상 User Request Message가 처리 중인 상태 	- User Request가 거의 완료된 시점에 취소 요청이 들어오는 경우  - 네트워크 지연으로 취소 요청 반영이 늦어지는 경우  - 같은 대상 User Request Message에 대해 Cancel Processing Message 인터랙션이 연속으로 여러 번 호출되는 경우	- 대상 User Request Message가 처리 중인 상태일 때, 사용자가 해당 인터랙션을 호출하면, 해당 Request의 응답 스트리밍과 후속 처리가 즉시 중단됨 - 대상 User Request Message가 처리 중인 상태일 때, 사용자가 해당 인터랙션을 연속으로 여러 번 호출하면, 첫 호출에서만 취소 처리가 수행되고 이후 호출에서는 추가적인 상태 변화 없이 기존 취소 상태가 유지됨 - 사용자가 해당 인터랙션을 호출했을 때, 대상 User Request Message가 처리 응답이 거의 완료된 시점이거나 네트워크 지연으로 취소 요청이 늦게 도달한다면, 일부 추가 토큰이 표시될 수 있으나 취소 요청이 반영된 이후에는 더 이상 응답이 표시되지 않고 Request가 취소 상태로 유지됨
Regenerate Response	command	Handle User Request	CDA	CDA-001	기획 완료	특정 User Request Message에 대해 응답을 재생성하도록 새 생성 Run을 시작하고, 기존 응답은 버전으로 보존	file_manager_window.inspector_pane.inspector_mode_chat	-	-	- 대상 Message에 Assistant Response가 존재하는 상태	- 기존 스트리밍이 진행 중인 경우  - 연속 재호출하는 경우	- 응답이 존재할 때, 사용자가 호출하면, 기존 응답은 이전 버전으로 유지되고 새 응답 생성이 시작됨. - 생성 중 재호출하면, 중복 실행이 방지되고 마지막 요청만 유효하게 처리됨.
Submit Response Feedback	command	Handle User Request	CDA	CDA-001	기획 완료	생성된 응답에 대해 Good/Bad 평가와 선택적 코멘트를 저장	file_manager_window.inspector_pane.inspector_mode_chat	-	-	- 대상 Message에 Assistant Response가 표시된 상태	- Good/Bad를 반복 변경하는 경우 - 전송 실패/오프라인인 경우	- 응답이 표시된 상태일 때, 사용자가 Good 또는 Bad를 선택하면, 평가가 해당 응답에 연결되어 저장됨. - Bad 선택 후 코멘트를 입력하면, 코멘트가 함께 저장됨. - 반복 변경 시, 마지막 선택이 유효하게 반영됨.
Build Ask Context from Request	background	Handle Ask Intent	CDA	CDA-002	기획 완료	Organize Intent Chunk 내용과 이전 컨텍스트를 기반으로, 질의 응답에 참고할 컨텍스트를 구성	-	-	-	- Ask Intent로 분류된 Chunk가 하나 이상 존재하는 상태	-	
Generate Ask Response	background	Handle Ask Intent	CDA	CDA-002	기획 완료	생성된 컨텍스트 기반으로 LLM을 호출해 자연어 문장 형태의 Reponse를 생성	-	-	-	- Ask Context가 준비된 상태	- Ask Context에 포함된 컨텍스트 양이 많아 응답 생성이 오래 걸리거나 부분 응답만 생성되는 경우	- Ask Context가 준비된 상태일 때, Generate Ask Response 인터랙션이 실행되면, Ask Intent로 분류된 Chunk와 Ask Context를 바탕으로 질문에 대한 자연어 응답 텍스트가 생성되고 해당 User Request Message에 연결됨. - Ask Context에 포함된 컨텍스트 양이 많아 응답 생성이 오래 걸리거나 부분 응답만 생성되는 상태일 때, Generate Ask Response 인터랙션이 실행되면, 생성이 완료된 구간까지의 응답 텍스트가 User Request Message에 저장되고, 응답이 부분적으로만 생성되었다는 상태 정보가 함께 기록됨.
Show Ask Results	display	Handle Ask Intent	CDA	CDA-002	기획 완료	생성 완료된 Ask Intent Response를 Chat Pane에 표시	file_manager_window.inspector_pane.inspector_mode_chat	-	-	- 현재 대화에서 Ask Intent에 대한 응답이 하나 이상 생성된 상태 - Inspector Pane이 Chat 모드로 표시된 상태	- Ask 응답 텍스트가 매우 길어 접힘 또는 요약 표시가 필요한 경우  - 동일 User Request에 대해 재질문 또는 재생성이 여러 번 수행된 경우  - 응답 생성 중 취소나 오류가 발생해 부분 응답만 존재하는 경우	- 현재 대화에서 Ask Intent에 대한 응답이 존재하는 상태일 때, 시스템이 Show Ask Results 인터랙션을 실행하면, 해당 응답이 User Request 단위로 결과 영역에 표시됨.  - Ask 응답 텍스트가 매우 긴 상태일 때, 시스템이 Show Ask Results 인터랙션을 실행하면, 요약 또는 접힘 UI를 사용해 주요 내용이 먼저 보이도록 표시됨.  - Ask 응답이 부분적으로만 생성된 상태일 때, 시스템이 Show Ask Results 인터랙션을 실행하면, 생성된 부분과 함께 응답이 불완전하다는 상태가 명확히 표시됨.
Build Collection Filter Draft from Request	background	Handle Retrieve Intent	CDA	CDA-003	기획 완료	Retrieve Intent Chunk와 현재 컨텍스트를 기반으로 콜렉션 필터 초안을 생성하고 초안 상태(완전/불완전/충돌)를 기록	-	-	-	- Retrieve Intent로 분류된 Chunk가 하나 이상 존재하는 상태	- User Request에 검색 범위나 조건이 명시되지 않은 모호한 요청인 경우  - 현재 컨텍스트가 삭제되었거나 권한이 없는 위치를 가리키는 경우  - 예상 결과 수가 매우 많아 과도한 결과 세트가 생성될 가능성이 높은 경우	- User Request가 Retrieve Intent로 분류된 상태일 때, 시스템이 Build Retrieval Query from Request 인터랙션을 실행하면, 검색 범위와 키워드 또는 필터가 포함된 Retrieval Query 객체가 생성됨.  - 현재 컨텍스트가 유효하지 않은 상태일 때, 시스템이 Build Retrieval Query from Request 인터랙션을 실행하면, Retrieval Query가 기본 검색 범위로 대체되어 안전하게 생성됨.  - User Request에 검색 조건이 거의 없는 상태일 때, 시스템이 Build Retrieval Query from Request 인터랙션을 실행하면, 과도한 결과를 방지하기 위한 기본 제한 조건이 포함된 Retrieval Query가 생성됨.
Show Collection Filter Draft		Handle Retrieve Intent	CDA	CDA-003	드래프트							
Update Collection Filter Draft		Handle Retrieve Intent	CDA	CDA-003	드래프트							
Refresh Collection Preview On Draft Change		Handle Retrieve Intent	CDA	CDA-003	드래프트							
Show Collection Preview		Handle Retrieve Intent	CDA	CDA-003	드래프트							
Confirm Collection Filter		Handle Retrieve Intent	CDA	CDA-003	드래프트							
Run Confirmed Retrieval		Handle Retrieve Intent	CDA	CDA-003	드래프트							
Show Temporary Collection		Handle Retrieve Intent	CDA	CDA-003	드래프트							
Expand Temporary Collection as Page		Handle Retrieve Intent	CDA	CDA-003	드래프트							
Run Retrieval Query	background	Handle Retrieve Intent	CDA	CDA-003	기획 완료		-	-	-	- 유효한 Retrieval Query 객체가 준비된 상태	- 검색 엔진에서 타임아웃 또는 일시적 장애가 발생하는 경우  - 검색 결과가 0건인 경우  - 검색 결과가 최대 허용 개수를 초과하는 경우	- 유효한 Retrieval Query가 준비된 상태일 때, 시스템이 Run Retrieval Query 인터랙션을 실행하면, 검색 엔진으로부터 entry 결과 세트 또는 0건 결과 응답을 수신함.  - 검색 엔진에서 타임아웃이나 장애가 발생한 상태일 때, 시스템이 Run Retrieval Query 인터랙션을 실행하면, 결과 대신 오류 상태와 오류 코드가 상위 계층으로 반환됨.  - 검색 결과가 최대 허용 개수를 초과하는 상태일 때, 시스템이 Run Retrieval Query 인터랙션을 실행하면, 정의된 최대 개수까지만 결과를 반환하고 추가 조회를 위한 정보를 함께 반환함.
Show Retrieval Results	display	Handle Retrieve Intent	CDA	CDA-003	기획 완료		file_manager_window.inspector_pane.inspector_mode_chat	-	-	- 현재 대화에서 Retrieve Intent에 대한 응답이 완료된 상태 - Inspector Pane이 Chat 모드로 표시된 상태	- 검색 결과가 너무 많아 페이지네이션 또는 ‘더 보기’ 인터랙션이 필요한 경우  - 사용자 컨텍스트가 이미 다른 범위로 변경된 후 늦게 도착한 결과를 표시해야 하는 경우  - 동일 대화 내 여러 Retrieve Intent 결과가 섞여 있는 경우	- 현재 User Request에 대한 Retrieval 결과 세트가 존재하는 상태일 때, 시스템이 Show Retrieval Results 인터랙션을 실행하면, 해당 결과가 Chat 결과 영역에 하나의 그룹으로 표시됨.  - Retrieval 결과가 0건인 상태일 때, 시스템이 Show Retrieval Results 인터랙션을 실행하면, ‘결과 없음’ 메시지와 함께 현재 검색 범위나 필터 정보를 요약해 표시됨.  - 동일 대화 안에 여러 Retrieve Intent 결과가 존재하는 상태일 때, 시스템이 Show Retrieval Results 인터랙션을 실행하면, 각 User Request별로 결과 그룹이 구분되어 표시됨.
Build Organize Commands from Request	background	Handle Organize Intent	CDA	CDA-004	기획 완료	Organize Intent Chunk 내용과 이전 컨텍스트를 기반으로 실제 실행될 스코프의 Working Set을 생성하고, 정리 명령 목록을 생성	-	-	-	- Organize Intent로 분류된 Chunk가 하나 이상 존재하는 상태 - 현재 사용자에게 대상 Entry에 대한 쓰기 권한이 있음	- 대상 entry가 하나도 선택되지 않은 경우  - 일부 entry에 대한 쓰기 권한이 부족한 경우  - 서로 충돌하는 명령이나 위험도가 높은 명령이 동시에 생성되는 경우	- User Request가 Organize Intent로 분류되고 대상 entry가 식별 가능한 상태일 때, 시스템이 Build Organize Commands from Request 인터랙션을 실행하면, 각 entry에 대해 수행할 정리 명령 목록이 생성됨.  - 대상 entry 일부에 쓰기 권한이 없는 상태일 때, 시스템이 Build Organize Commands from Request 인터랙션을 실행하면, 권한이 있는 entry에 대한 명령만 생성되고 권한이 없는 entry는 오류 정보와 함께 제외됨.  - 생성된 명령 중 서로 충돌하거나 위험도가 높은 명령이 포함된 상태일 때, 시스템이 Build Organize Commands from Request 인터랙션을 실행하면, 해당 명령에 별도 플래그가 설정되어 프리뷰 단계에서 강조 표시됨.
Show Organize Commands Preview	display	Handle Organize Intent	CDA	CDA-004	기획 완료	생성된 정돈 명령이 파일 시스템에 미칠 영향을 사용자에게 요약/프리뷰로 제공	file_manager_window.inspector_pane.inspector_mode_chat	-	-	- 현재 대화에서 Organize Intent에 대한 명령이 하나 이상 생성된 상태 - Inspector Pane이 Chat 모드로 표시된 상태	- 명령 개수가 매우 많아 전체를 한 번에 표시하기 어려운 경우  - 일부 명령의 영향 범위를 계산할 수 없는 경우  - 프리뷰 표시 후 User Request가 변경되어 기존 프리뷰가 무효화되는 경우	- 유효한 Organize Commands 목록이 존재하는 상태일 때, 시스템이 Show Organize Commands Preview 인터랙션을 실행하면, 각 명령의 대상과 수행 액션 및 예상 결과가 프리뷰 형태로 표시됨.  - 위험 플래그가 설정된 명령이 포함된 상태일 때, 시스템이 Show Organize Commands Preview 인터랙션을 실행하면, 해당 명령이 시각적으로 강조되어 사용자에게 추가 주의를 요청함.  - 프리뷰가 표시된 이후 User Request가 변경된 상태일 때, 시스템이 Show Organize Commands Preview 인터랙션을 다시 실행하면, 이전 프리뷰가 무효화되고 최신 Request 기준으로 생성된 프리뷰가 표시됨.
Confirm Organize Commands	command	Handle Organize Intent	CDA	CDA-004	기획 완료	사용자가 정돈 명령어 프리뷰를 확인 후 실행 승인 및 거절을 선택	file_manager_window.inspector_pane.inspector_mode_chat	-	-	- 처리 중인 Message가 Organize Intent를 포함하는 상태 - Organize Commands 프리뷰가 화면에 표시된 상태임  - 실행 가능한 Organize Command가 하나 이상 존재함 - 현재 사용자에게 대상 entry에 대한 수정 권한이 있음	- 사용자가 승인 또는 거절 버튼을 빠르게 연속 클릭하는 경우  - 승인 직전에 대상 entry가 외부 요인으로 변경되거나 삭제되는 경우  - 프리뷰가 표시된 탭이나 창이 승인 과정 중에 닫히는 경우	- Organize Commands 프리뷰가 표시된 상태일 때, 사용자가 Confirm Organize Commands 인터랙션에서 실행을 승인하면, 승인된 명령 목록이 Execute Organize Commands 단계로 한 번만 전달됨.  - Organize Commands 프리뷰가 표시된 상태일 때, 사용자가 Confirm Organize Commands 인터랙션에서 실행을 거절하면, 어떤 명령도 실행되지 않고 프리뷰가 닫힘.  - 같은 User Request에 대해 사용자가 Confirm Organize Commands 인터랙션을 반복 호출한 상태일 때, 시스템이 후속 호출을 처리하면, 첫 승인 또는 거절 결과만 유효하게 유지되고 중복 요청은 무시됨.
Execute Organize Commands	background	Handle Organize Intent	CDA	CDA-004	기획 완료	승인된 정돈 명령을 실제 파일 시스템에 적용	-	-	-	- 처리 중인 Message가 Organize Intent를 포함하는 상태 - 승인된 Organize Commands 목록이 존재함  - 대상 entry에 대한 파일 시스템 및 콜렉션 쓰기 권한이 있음  - 파일 시스템과 관련 서비스가 정상 동작 중임	- 일부 명령만 성공하고 일부 명령이 실패하는 부분 성공 상황이 발생하는 경우  - 파일 시스템 잠금 또는 동시 접근으로 인해 일시적으로 실패하는 경우  - 되돌릴 수 없는 작업(예: 영구 삭제)이 포함된 경우	- 승인된 Organize Commands 목록이 존재하는 상태일 때, 시스템이 Execute Organize Commands 인터랙션을 실행하면, 각 명령이 파일 시스템과 콜렉션에 순차적으로 적용됨.  - 일부 명령만 성공하고 일부 명령이 실패한 상태일 때, 시스템이 Execute Organize Commands 인터랙션을 완료하면, 성공·실패 여부와 이유가 개별 명령 단위로 기록됨.  - 되돌릴 수 없는 작업이 포함된 상태일 때, 시스템이 Execute Organize Commands 인터랙션을 실행하면, 사전 확인을 통과한 명령만 실행되고 확인되지 않은 명령은 실행되지 않음.
